balance,account-number,opening-date,account-type
267.69,DE82444435329779109646,2019-01-16T10:49:31.641,credit
2112.10,DE70334119137743514093,2017-09-12T10:49:31.642,credit
2447.25,DE76894768662419673111,2018-05-23T10:49:31.643,savings
6195.25,DE78690946739504309806,2016-11-17T10:49:31.644,debit
4300.66,DE50139821739297986888,2017-07-02T10:49:31.645,debit
1753.64,DE77851065666584720184,2018-08-07T10:49:31.646,savings
1996.42,DE29354508073743831293,2019-06-18T10:49:31.647,credit
7774.72,DE10985785971549145687,2019-05-20T10:49:31.648,savings
9772.25,DE93852973047302670654,2018-05-24T10:49:31.649,credit
4267.75,DE67444719107381296569,2017-08-10T10:49:31.650,credit
3598.21,DE50561242036667643899,2018-12-05T10:49:31.651,credit
9470.51,DE51728838437501118370,2017-09-18T10:49:31.652,savings
5418.80,DE22170806079195028710,2018-11-21T10:49:31.653,debit
6918.22,DE27235503909700305654,2018-09-21T10:49:31.654,credit
3970.97,DE92648558961468741310,2016-10-18T10:49:31.655,savings
8741.27,DE44305226222441557697,2019-04-24T10:49:31.656,debit
8902.26,DE50493093512418563495,2018-04-26T10:49:31.657,debit
2994.91,DE46175649932131791856,2018-06-22T10:49:31.658,credit
2015.93,DE65403466947923029055,2017-09-13T10:49:31.659,credit
4221.74,DE32132962269821718345,2016-10-28T10:49:31.660,savings
4171.96,DE33510125629974889896,2018-01-19T10:49:31.661,credit
196.38,DE28571102327654896575,2017-06-23T10:49:31.662,savings
6082.94,DE20117978677399847042,2016-10-26T10:49:31.663,savings
5827.99,DE98578335434393251543,2017-03-22T10:49:31.664,credit
3468.22,DE28254691836878919381,2019-06-24T10:49:31.665,credit
6800.10,DE31852781254280985515,2019-05-28T10:49:31.666,savings
